Day 01,name,이름 
Day 01,boy,"소년, 남자아이 "
Day 01,girl,"소녀, 여자아이 "
Day 01,baby,아기 
Day 01,man,"(성인) 남자, 남성 "
Day 01,woman,"(성인) 여자, 여성 "
Day 01,age,나이 
Day 01,dear,"사랑하는, 소중한 "
Day 01,child,"아이, 어린이 "
Day 01,teenager,십 대 
Day 01,adult,"성인, 어른 "
Day 01,someone,"누군가, 어떤 사람 "
Day 01,everyone,"모두, 모든 사람 "
Day 01,lady,"여성, 숙녀, 부인 "
Day 01,gentleman,"신사, 양반 "
Day 01,person,"사람, 개인 "
Day 01,people,사람들 
Day 01,own,자기 자신의 
Day 01,each other,서로 
Day 01,be[come] from ,"~출신이다, ~에서 오다 "
Day 02,family,가족 
Day 02,father,아버지 
Day 02,mother,어머니 
Day 02,son,아들 
Day 02,daughter,딸 
Day 02,brother,"형, 오빠, 남동생 "
Day 02,sister,"언니, 누나, 여동생 "
Day 02,marry,결혼하다 
Day 02,husband,남편 
Day 02,wife,"아내, 부인 "
Day 02,parent(-s) ,부모 
Day 02,uncle,삼촌 
Day 02,aunt,"고모, 이모, 숙모 "
Day 02,grandparent(-s) ,조부모 
Day 02,cousin,사촌 
Day 02,member,"구성원, 일원 "
Day 02,pet,반려동물 
Day 02,relative,친척 
Day 02,be born,태어나다 
Day 02,take care of ,~을 돌보다 
Day 03,friend,친구 
Day 03,together,"함께, 같이 "
Day 03,club,"동아리, 클럽 "
Day 03,join,"가입하다, 함께하다 "
Day 03,fight,싸우다 
Day 03,group,"무리, 집단, 그룹 "
Day 03,classmate,"급우, 반 친구 "
Day 03,partner,"파트너, 짝 "
Day 03,alone,혼자 
Day 03,friendship,우정 
Day 03,share,함께 쓰다; 나누다 
Day 03,neighbor,이웃 
Day 03,favor,"호의, 부탁 "
Day 03,introduce,소개하다 
Day 03,harmony,"조화, 화합 "
Day 03,nickname,별명 
Day 03,welcome,환영하다 
Day 03,strange,이상한; 낯선 
Day 03,hang out (with) ,"(~와) 시간을 보내다, 어울려 놀다 "
Day 03,make fun of ,~을 놀리다 
Day 04,body,"몸, 신체 "
Day 04,ear,귀 
Day 04,eye,눈 
Day 04,nose,코 
Day 04,mouth,입 
Day 04,skin,피부 
Day 04,tooth,"이, 치아 "
Day 04,tongue,혀 
Day 04,head,머리 
Day 04,hair,"머리카락, 털 "
Day 04,arm,팔 
Day 04,shoulder,어깨 
Day 04,hand,손 
Day 04,finger,손가락 
Day 04,leg,다리 
Day 04,knee,무릎 
Day 04,foot,발 
Day 04,toe,발가락 
Day 04,grow up,"성장하다, 자라다 "
Day 04,watch out,조심하다 
Day 05,old,"늙은, 나이 많은; 오래된 "
Day 05,young,"어린, 젊은 "
Day 05,short,"키가 작은, 짧은 "
Day 05,tall,"키가 큰, 높은 "
Day 05,long,긴 
Day 05,pretty,"예쁜, 귀여운 "
Day 05,ugly,"못생긴, 보기 싫은 "
Day 05,handsome,잘생긴 
Day 05,face,얼굴 
Day 05,thin,"날씬한, 마른; 얇은, 가는 "
Day 05,fat,"뚱뚱한, 살찐 "
Day 05,curly,곱슬곱슬한 
Day 05,blond,금발인 
Day 05,change,바꾸다; 변하다 
Day 05,lovely,사랑스러운 
Day 05,cute,귀여운 
Day 05,normal,"평범한, 정상적인 "
